categoryId,categoryName,categoryPath
"261643","Stockings & Hangers","Root > Collectibles > Holiday & Seasonal > Stockings & Hangers"
"261644","Table Décor & Serving Pieces","Root > Collectibles > Holiday & Seasonal > Table Décor & Serving Pieces"
"261645","Tree Toppers","Root > Collectibles > Holiday & Seasonal > Tree Toppers"
"261646","Villages & Houses","Root > Collectibles > Holiday & Seasonal > Villages & Houses"
"261647","Wall Décor","Root > Collectibles > Holiday & Seasonal > Wall Décor"
"261648","Window Decorations","Root > Collectibles > Holiday & Seasonal > Window Decorations"
"261649","Yard Décor","Root > Collectibles > Holiday & Seasonal > Yard Décor"
"914","Postcards & Supplies","Root > Collectibles > Postcards & Supplies"
"86696","Price Guides & Publications","Root > Collectibles > Postcards & Supplies > Price Guides & Publications"
"262041","Postcards","Root > Collectibles > Postcards & Supplies > Postcards"
"262042","Topographical Postcards","Root > Collectibles > Postcards & Supplies > Postcards > Topographical Postcards"
"262043","Non-Topographical Postcards","Root > Collectibles > Postcards & Supplies > Postcards > Non-Topographical Postcards"
